Door Name in System,New Door Name for Database,Account,Delivery
1Connection,1Connection,1Connection,No
Affinity Boston,Affinity Boston,Affinity,No
Affinity West Springfield,Affinity West Springfield,Affinity,No
Apothca,Apothca Arlington,Apothca,No
Apothca Arlington,Apothca Arlington,Apothca,No
Apothca Boston,Apothca Boston,Apothca,No
Apothca Lynn,Apothca Lynn,Apothca,No
Apothca Lynn (Rec),Apothca Lynn,Apothca,No
"Apothca, Inc","Apothca, Inc",Apothca,No
"Apothca, Inc.","Apothca, Inc",Apothca,No
Ascend - Boston,Ascend Boston,Ascend,No
Ascend Boston,Ascend Boston,Ascend,No
"Ascend Mass, LLC",Ascend Boston,Ascend,No
Ascend Newton,Ascend Newton,Ascend,No
b\well,b\well,b\well,No
Bask,Bask,Bask,No
Berkshire Welco,Berkshire Welco,Berkshire Welco,No
"Berkshire Welco, LLC",Berkshire Welco,Berkshire Welco,No
Botera Franklin,Botera Franklin,Botera Franklin,No
Bud's Good & Provisions - Watertown,Bud's Good & Provisions - Watertown,Bud's Goods & Provisions,No
Bud's Goods & Provisions - Abington,Bud's Goods & Provisions Abington,Bud's Goods & Provisions,No
Bud's Goods & Provisions Corp.,Bud's Goods & Provisions Worcester,Bud's Goods & Provisions,No
Bud's Goods & Provisions Corp. (FKA Trichome Health Corp.),Bud's Goods & Provisions,Bud's Goods & Provisions,No
Bud's Goods & Provisions Worcester,Bud's Goods & Provisions Worcester,Bud's Goods & Provisions,No
"BWell Holdings, Inc","BWell Holdings, Inc",b\well,No
Canna Provisions - Holyoke,Canna Provisions - Holyoke,Canna Provisions,No
Cannabist - Boston,Cannabist - Boston,Cannabist,No
Cannapi,Cannapi Dispensary,Cannapi,No
Cannapi DIspensary,Cannapi Dispensary,Cannapi,No
Cape Cod Cannabis,Cape Cod Cannabis,Cape Cod Cannabis,No
Caroline's Cannabis,Caroline's Cannabis,Caroline's Cannabis,No
"Caroline's Cannabis, LLC",Caroline's Cannabis,Caroline's Cannabis,No
Clear Sky Cannabis  - North Adams,Clear Sky Cannabis - North Adams,Clear Sky Cannabis,No
Collective Billerica,Collective - Billerica,Collective,No
Collective Littleton,Collective - Littleton,Collective,No
Community Growth Partners Great Barrington Operations LLC,Community Growth Partners,Community Growth Partners,No
Cookies Worcester,Cookies Worcester,Cookies,No
Curaleaf Webster,Curaleaf Webster,Curaleaf,
"Cypress Tree Management, Inc.",Cypress Tree Management,Cypress Tree Management,No
"Diem Lynn, LLC","Diem Lynn, LLC",Diem,No
Diem Worcester,Diem Worcester,Diem,No
Doobie,Doobie,Doobie,No
Elevated Roots,Elevated Roots,Elevated Roots,No
"Elevated Roots, LLC",Elevated Roots,Elevated Roots,No
Enlite Cannabis LLC,Enlite Cannabis LLC,Enlite Cannabis,No
Ermont,Ermont,Ermont,No
"Ermont, Inc",Ermont,Ermont,No
Essex Apothecary,Essex Apothecary,Essex Apothecary,No
Farnsworth Fine Cannabis,Farnsworth Fine Cannabis,Farnsworth Fine Cannabis,No
Farnsworth Fine Cannabis/HighMinded,Farnsworth Fine Cannabis,Farnsworth Fine Cannabis,No
Fine Fettle,Fine Fettle,Fine Fettle,No
Flower & Soul,Flower & Soul,Flower & Soul,No
"Four Daughters Compassionate Care, Inc.","Four Daughters Compassionate Care, Inc.",Four Daughters Compassionate Care,No
Frozen 4 Corporation,Frozen 4 Corporation,Frozen 4 Corporation,No
"Ganesh Wellness, Inc. d.b.a. Campfire Cannabis","Ganesh Wellness, Inc. d.b.a. Campfire Cannabis",Ganesh Wellness,No
Garden Remedies Marlborough,Garden Remedies Marlborough,Garden Remedies,No
Garden Remedies Melrose,Garden Remedies Melrose,Garden Remedies,No
Garden Remedies Newton,Garden Remedies Newton,Garden Remedies,No
"Garden Remedies, Inc.",Garden Remedies,Garden Remedies,No
Garden Wonders,Garden Wonders,Garden Wonders,No
"Garden Wonders, Inc",Garden Wonders,Garden Wonders,No
Greatest Hits,Greatest Hits,Greatest Hits,No
Green Meadows,Green Meadows,Green Meadows,No
"Green Meadows Farm, LLC",Green Meadows,Green Meadows,No
GreenStar Herbals Chelsea,GreenStar Herbals Chelsea,GreenStar,No
GreenStar Herbals Dracut,GreenStar Herbals Dracut,GreenStar,No
GreenStar Herbals Inc Maynard,GreenStar Herbals Maynard,GreenStar,No
"GreenStar Herbals, Inc.",GreenStar Herbals,GreenStar,No
GTE Franklin LLC,GTE Franklin LLC,GTE Franklin,No
Harmony of MA,Harmony of MA,Harmony of MA,No
Heal,Heal,Heal,No
Heal Provincetown,Heal Provincetown,Heal,No
"Heal Sturbridge, Inc.",Heal Sturbridge,Heal,No
Healthy Pharms,Healthy Pharms,Healthy Pharms,No
High Hopes,High Hopes,High Hopes,No
HIGHMINDED LLC,Highminded,Highminded,No
INSA Springfield  Med,INSA Springfield Med,INSA Springfield Med,No
"Jushi MA, Inc.","Jushi MA, Inc.",Jushi,No
Kapha Cannabis,Kapha Cannabis,Kapha Cannabis,No
Kosa,Kosa,Kosa,No
Liberty Compassion,Liberty Compassion,Liberty Compassion,No
"Liberty Compassion, Inc. - Boston",Liberty Compassion,Liberty Compassion,No
Local Roots Fitchburg,Local Roots Fitchburg,Local Roots,No
Local Roots Marlborough,Local Roots Marlborough,Local Roots,No
Local Roots Sturbridge,Local Roots Sturbridge,Local Roots,No
Major Bloom,Major Bloom,Major Bloom,No
Mayflower Medicinals,Mayflower Medicinals Boston,Mayflower Medicinals,No
Mayflower Medicinals (Med),Mayflower Medicinals Boston,Mayflower Medicinals,No
Mayflower Medicinals Boston,Mayflower Medicinals Boston,Mayflower Medicinals,No
Mayflower Medicinals Worcester,Mayflower Medicinals Worcester,Mayflower Medicinals,No
MedMen,MedMen,MedMen,No
MedMen Fenway,MedMen Fenway,MedMen,No
Mello Fellows,Mello Fellows,Mello fellows,No
Mission Brookline,Mission Brookline,Mission,No
Mission Georgetown,Mission Georgetown,Mission,No
"Mission MA, Inc.",Mission,Mission,No
Mission Worcester,Mission Worcester,Mission,No
Native Sun North Attleboro,Native Sun North Atleboro,Native Sun,No
Native Sun Wellness INC,Native Sun Hudson,Native Sun,No
"Native Sun Wellness, Inc.",Native Sun North Atleboro,Native Sun,No
Nature's Remedy - Millbury,Nature's Remedy - Millbury,Nature's Remedy,No
Nature's Remedy - Tyngsborough,Nature's Remedy - Tyngsborough,Nature's Remedy,No
"Nature's Remedy of Massachusetts, Inc.",Nature's Remedy,Nature's Remedy,No
NETA,NETA,NETA,No
"New Dia, LLC","New Dia, LLC",New Dia,No
Northeast Alternatives,Northeast Alternatives,Northeast Alternatives,No
"Northeast Alternatives, Inc.",Northeast Alternatives,Northeast Alternatives,No
"Olde World Remedies, Inc","Olde World Remedies, Inc",Olde World Remedies,No
Panacea Wellness,Panacea Wellness,Panacea Wellness,No
Pure Oasis LLC,Pure Oasis LLC,Pure Oasis,No
Rebelle,Rebelle,Rebelle,No
Redi,Redi,Redi,No
reLeaf Alternative Inc.,reLeaf Alternative Inc.,reLeaf Alternative,No
Resinate - Worcester,Resinate - Worcester,Resinate,No
Resinate Northhampton,Resinate Northhampton,Resinate,No
Reverie 73,Reverie 73,Reverie 73,No
Revolutionary,Revolutionary,Revolutionary Clinics,No
Revolutionary - Fawcett,Revolutionary - Fawcett,Revolutionary Clinics,No
Revolutionary - Mass Ave,Revolutionary - Mass Ave,Revolutionary Clinics,No
Revolutionary - Somerville,Revolutionary - Somerville,Revolutionary Clinics,No
Revolutionary Clinics - Cambridge,Revolutionary Clinics - Cambridge,Revolutionary Clinics,No
Revolutionary Clinics II,Revolutionary Clinics II,Revolutionary Clinics,No
Revolutionary Clinics II-Cambridge,Revolutionary Clinics - Cambridge,Revolutionary Clinics,No
RISE Amherst,RISE Amherst,GTI,No
"Rise Holdings, Inc.",RISE,GTI,No
Sanctuary Brookline,Sanctuary Brookline,Sanctuary,No
Sanctuary Danvers,Sanctuary Danvers,Sanctuary,No
Sanctuary Gardner,Sanctuary Gardner,Sanctuary,No
"Sanctuary Medicinals, Inc.",Sanctuary Brookline,Sanctuary,No
"Sanctuary Medicinals, Inc. - Danvers",Sanctuary Danvers,Sanctuary,No
"Sanctuary Medicinals, Inc. - Woburn",Sanctuary Woburn,Sanctuary,No
Sanctuary Woburn,Sanctuary Woburn,Sanctuary,No
SEED,SEED,SEED,No
Silver Therapeutics,Silver Therapeutics,Silver Therapeutics,No
Silver Therapeutics - Orange,Silver Therapeutics - Orange,Silver Therapeutics,No
Silver Therapeutics - Williamstown,Silver Therapeutics - Williamstown,Silver Therapeutics,No
"Silver Therapeutics, Inc. (dba: Orange Cannabis Co.)","Silver Therapeutics, Inc. (dba: Orange Cannabis Co.)",Silver Therapeutics,No
South Shore Buds,South Shore Buds,South Shore Buds,No
Temescal - Worcester - Production,Temescal - Worcester - Production,Temescal Wellness,No
Temescal Wellness Framingham - Med,Temescal Wellness Framingham,Temescal Wellness,No
Temescal Wellness Hudson - AU,Temescal Wellness Hudson,Temescal Wellness,No
"Temescal Wellness of Massachusetts, LLC",Temescal Wellness,Temescal Wellness,No
Temescal Wellness Pittsfield - AU,Temescal Wellness Pittsfield,Temescal Wellness,No
The Botanist Worcester,The Botanist Worcester,The Botanist,No
The Haven Center - Provincetown,The Haven Center - Provincetown,The Haven Center,No
The Hempest,The Hempest,The Hempest,No
The Pass,The Pass,The Pass,No
"Theory Wellness, Inc. - Chicopee","Theory Wellness, Inc. - Chicopee",Theory Wellness,No
Tree House Craft Cannabis,Tree House Craft Cannabis,Tree House Craft Cannabis,No
Tree House Craft Cannabis,Tree House Craft Cannabis,Tree House Craft Cannabis,No
Truelieve Holyoke,Truelieve Holyoke,Truelieve Holyoke,No
Uma Flowers Cannabis Dispensary,Uma Flowers Cannabis Dispensary,Uma Flowers Cannabis Dispensary,No
Union Twist - Framingham,Union Twist - Framingham,Union Twist,No
United Cultivation,United Cultivation,United Cultivation,No
"United Cultivation, LLC",United Cultivation,United Cultivation,No
Western Front,Western Front,Western Front,No
Western Front Cambridge,Western Front Cambridge,Western Front,No
"Western Front, LLC",Western Front,Western Front,No
Zahara,Zahara,Zahara,No
ZENLEAF - Sharon,Zen Leaf Sharon,Verano,No
Zenleaf Plymouth,Zen Leaf Plymouth,Verano,No
