Name,Rep,order_date,delivery_date,total,ttl_samples,adj_total,derived_unit_price,variable,value,unit_price,dollar_val
The Pass,Brandon,8/13/21,8/30/21,2544.0,$0.00 ,"$2,544.00 ",12.0,CS - wholesale,212.0,12.0,2544.0
Western Front,Deidra,0.0,8/25/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,120.0,12.0,1440.0
Ermont,Jameson,8/10/21,8/24/21,3000.0,$0.00 ,"$3,000.00 ",12.0,CS - wholesale,250.0,12.0,3000.0
Garden Wonders,Jameson,8/19/21,8/23/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Revolutionary,Kristopher,8/4/21,8/9/21,1824.0,$0.00 ,"$1,824.00 ",12.0,CS - wholesale,152.0,12.0,1824.0
RISE Amherst,Brandon,8/3/21,8/6/21,1680.0,$0.00 ,"$1,680.00 ",12.0,CS - wholesale,140.0,12.0,1680.0
Elevated Roots,Jameson,6/29/21,7/31/21,3096.0,$0.00 ,"$3,096.00 ",12.0,CS - wholesale,180.0,12.0,2160.0
Northeast Alternatives,Jameson,7/14/21,7/28/21,3600.0,$0.00 ,"$3,600.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Farnsworth Fine Cannabis,Jameson,7/1/21,7/22/21,4704.0,$0.00 ,"$4,704.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Silver Therapeutics - Williamstown,Deidra,7/9/21,7/19/21,672.0,$0.00 ,$672.00 ,12.0,CS - wholesale,16.0,12.0,192.0
Silver Therapeutics - Orange,0.0,7/9/21,7/19/21,3120.0,$0.00 ,"$3,120.00 ",12.0,CS - wholesale,60.0,12.0,720.0
Rebelle,Jameson,7/7/21,7/16/21,2700.0,$0.00 ,"$2,700.00 ",12.0,CS - wholesale,75.0,12.0,900.0
Caroline's Cannabis,Jameson,6/28/21,7/16/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,60.0,12.0,720.0
The Pass,Brandon,7/13/21,7/15/21,2112.0,$0.00 ,"$2,112.00 ",12.0,CS - wholesale,76.0,12.0,912.0
Revolutionary,-,7/6/21,7/8/21,1620.0,$0.00 ,"$1,620.00 ",12.0,CS - wholesale,92.0,12.0,1104.0
Revolutionary,-,6/28/21,7/1/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,60.0,12.0,720.0
RISE Amherst,Brandon,6/22/21,6/30/21,3120.0,$0.00 ,"$3,120.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Revolutionary - Fawcett,-,-,6/30/21,1098.0,$0.00 ,"$1,098.00 ",9.0,CS - wholesale,122.0,9.0,1098.0
Revolutionary - Mass Ave,-,-,6/30/21,963.0,$0.00 ,$963.00 ,9.0,CS - wholesale,107.0,9.0,963.0
Revolutionary - Somerville,-,-,6/30/21,1143.0,$0.00 ,"$1,143.00 ",9.0,CS - wholesale,127.0,9.0,1143.0
Nature's Remedy - Millbury,Jameson,6/14/21,6/28/21,3600.0,$0.00 ,"$3,600.00 ",12.0,CS - wholesale,150.0,12.0,1800.0
The Pass,Brandon,6/15/21,6/28/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Northeast Alternatives,Jameson,6/23/21,6/28/21,1920.0,$0.00 ,"$1,920.00 ",12.0,CS - wholesale,80.0,12.0,960.0
SEED,Jameson,6/15/21,6/25/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Rebelle,Jameson,6/17/21,6/25/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Silver Therapeutics,Deidra,6/17/21,6/24/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,40.0,12.0,480.0
Garden Wonders,Jameson,6/17/21,6/22/21,2304.0,$0.00 ,"$2,304.00 ",12.0,CS - wholesale,192.0,12.0,2304.0
Ascend - Boston,Brandon,6/11/21,6/19/21,960.0,$0.00 ,$960.00 ,12.0,CS - wholesale,30.0,12.0,360.0
Elevated Roots,Jameson,6/9/21,6/17/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
United Cultivation,Deidra,6/8/21,6/14/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Nature's Remedy - Tyngsborough,Jameson,6/9/21,6/14/21,1800.0,$0.00 ,"$1,800.00 ",12.0,CS - wholesale,150.0,12.0,1800.0
RISE Amherst,Brandon,6/7/21,6/13/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Farnsworth Fine Cannabis,Jameson,6/8/21,6/12/21,1920.0,$0.00 ,"$1,920.00 ",12.0,CS - wholesale,160.0,12.0,1920.0
SEED,Jameson,6/2/21,6/7/21,576.0,$0.00 ,$576.00 ,12.0,CS - wholesale,48.0,12.0,576.0
Elevated Roots,Jameson,5/29/21,6/5/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,120.0,12.0,1440.0
Western Front,Deidra,6/1/21,6/4/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Ascend - Boston,Brandon,5/19/21,6/3/21,720.0,$0.00 ,$720.00 ,12.0,CS - wholesale,60.0,12.0,720.0
Revolutionary - Fawcett,-,-,5/31/21,1368.0,$0.00 ,"$1,368.00 ",9.0,CS - wholesale,152.0,9.0,1368.0
Revolutionary - Mass Ave,-,-,5/31/21,774.0,$0.00 ,$774.00 ,9.0,CS - wholesale,86.0,9.0,774.0
Revolutionary - Somerville,-,-,5/31/21,1998.0,$0.00 ,"$1,998.00 ",9.0,CS - wholesale,222.0,9.0,1998.0
Northeast Alternatives,Jameson,5/24/21,5/28/21,1200.0,$0.00 ,"$1,200.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Silver Therapeutics - Williamstown,Deidra,5/26/21,5/28/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,120.0,12.0,1440.0
Mayflower Medicinals,Jameson,5/19/21,5/27/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,400.0,12.0,4800.0
Elevated Roots,Jameson,5/10/21,5/22/21,960.0,$0.00 ,$960.00 ,12.0,CS - wholesale,80.0,12.0,960.0
Apothca,Brandon,5/14/21,5/19/21,6000.0,$0.00 ,"$6,000.00 ",12.0,CS - wholesale,500.0,12.0,6000.0
Northeast Alternatives,Jameson,5/11/21,5/17/21,1200.0,$0.00 ,"$1,200.00 ",12.0,CS - wholesale,100.0,12.0,1200.0
Cannapi,Jameson,5/12/21,5/15/21,3600.0,$0.00 ,"$3,600.00 ",12.0,CS - wholesale,300.0,12.0,3600.0
Nature's Remedy - Millbury,Jameson,5/11/21,5/14/21,1728.0,$0.00 ,"$1,728.00 ",12.0,CS - wholesale,144.0,12.0,1728.0
Nature's Remedy - Tyngsborough,Jameson,5/11/21,5/14/21,1392.0,$0.00 ,"$1,392.00 ",12.0,CS - wholesale,116.0,12.0,1392.0
RISE Amherst,Brandon,5/10/21,5/12/21,2160.0,$0.00 ,"$2,160.00 ",12.0,CS - wholesale,180.0,12.0,2160.0
Western Front,Deidra,5/5/21,5/10/21,2304.0,$0.00 ,"$2,304.00 ",12.0,CS - wholesale,192.0,12.0,2304.0
Apothca,Brandon,5/6/21,5/10/21,1104.08,$8.00 ,"$1,104.00 ",12.0,CS - wholesale,92.0,12.0,1104.0
Ascend - Boston,Brandon,4/26/21,5/6/21,720.0,$0.00 ,$720.00 ,12.0,CS - wholesale,60.0,12.0,720.0
Elevated Roots,Jameson,4/26/21,5/1/21,720.0,$0.00 ,$720.00 ,12.0,CS - wholesale,60.0,12.0,720.0
RISE Amherst,Brandon,4/26/21,4/30/21,2160.0,$0.00 ,"$2,160.00 ",12.0,CS - wholesale,180.0,12.0,2160.0
Farnsworth Fine Cannabis,Jameson,4/26/21,4/30/21,3600.0,$0.00 ,"$3,600.00 ",12.0,CS - wholesale,300.0,12.0,3600.0
Revolutionary - Fawcett,-,-,4/30/21,1818.0,$0.00 ,"$1,818.00 ",9.0,CS - wholesale,202.0,9.0,1818.0
Revolutionary - Mass Ave,-,-,4/30/21,1242.0,$0.00 ,"$1,242.00 ",9.0,CS - wholesale,138.0,9.0,1242.0
Revolutionary - Somerville,-,-,4/30/21,2853.0,$0.00 ,"$2,853.00 ",9.0,CS - wholesale,317.0,9.0,2853.0
Silver Therapeutics - Orange,Deidra,-,4/28/21,960.0,$0.00 ,$960.00 ,12.0,CS - wholesale,80.0,12.0,960.0
Garden Wonders,Jameson,-,4/18/21,2304.0,$0.00 ,"$2,304.00 ",12.0,CS - wholesale,192.0,12.0,2304.0
Fine Fettle,Brandon,-,4/16/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,400.0,12.0,4800.0
Apothca,Brandon,-,4/13/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Nature's Remedy - Millbury,Jameson,-,4/12/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,120.0,12.0,1440.0
Nature's Remedy - Tyngsborough,Jameson,-,4/12/21,3216.0,$0.00 ,"$3,216.00 ",12.0,CS - wholesale,268.0,12.0,3216.0
Western Front,Deidra,-,4/9/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Silver Therapeutics - Orange,Deidra,-,4/8/21,480.0,$0.00 ,$480.00 ,12.0,CS - wholesale,40.0,12.0,480.0
Silver Therapeutics - Williamstown,Deidra,-,4/8/21,480.0,$0.00 ,$480.00 ,12.0,CS - wholesale,40.0,12.0,480.0
Revolutionary - Fawcett,-,-,3/31/21,1692.0,$0.00 ,"$1,692.00 ",9.0,CS - wholesale,188.0,9.0,1692.0
Revolutionary - Mass Ave,-,-,3/31/21,1323.0,$0.00 ,"$1,323.00 ",9.0,CS - wholesale,147.0,9.0,1323.0
Revolutionary - Somerville,-,-,3/31/21,1953.0,$0.00 ,"$1,953.00 ",9.0,CS - wholesale,217.0,9.0,1953.0
b\well,Jameson,-,3/30/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,400.0,12.0,4800.0
RISE Amherst,Brandon,-,3/29/21,1680.0,$0.00 ,"$1,680.00 ",12.0,CS - wholesale,140.0,12.0,1680.0
Western Front,Deidra,-,3/22/21,2460.0,$0.00 ,"$2,460.00 ",12.0,CS - wholesale,205.0,12.0,2460.0
Western Front,Deidra,-,3/22/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,400.0,12.0,4800.0
RISE Amherst,Brandon,-,3/19/21,912.0,$120.00 ,$910.80 ,28.46,CS - wholesale,32.0,28.46,910.72
Western Front,Deidra,-,3/12/21,1200.3,$118.00 ,"$1,199.12 ",21.41,CS - wholesale,56.0,21.41,1198.96
Elevated Roots,Jameson,6/29/21,7/31/21,3096.0,$0.00 ,"$3,096.00 ",12.0,LL - wholesale,78.0,12.0,936.0
Northeast Alternatives,Jameson,7/14/21,7/28/21,3600.0,$0.00 ,"$3,600.00 ",12.0,LL - wholesale,200.0,12.0,2400.0
SEED,Jameson,7/9/21,7/28/21,1200.0,$0.00 ,"$1,200.00 ",12.0,LL - wholesale,100.0,12.0,1200.0
Revolutionary,-,0.0,7/23/21,1800.0,$0.00 ,"$1,800.00 ",12.0,LL - wholesale,150.0,12.0,1800.0
Farnsworth Fine Cannabis,Jameson,7/1/21,7/22/21,4704.0,$0.00 ,"$4,704.00 ",12.0,LL - wholesale,192.0,12.0,2304.0
Apothca,Brandon,7/14/21,7/22/21,3600.0,$0.00 ,"$3,600.00 ",12.0,LL - wholesale,300.0,12.0,3600.0
Mayflower Medicinals,Jameson,7/14/21,7/22/21,2400.0,$0.00 ,"$2,400.00 ",12.0,LL - wholesale,200.0,12.0,2400.0
Silver Therapeutics - Williamstown,Deidra,7/9/21,7/19/21,672.0,$0.00 ,$672.00 ,12.0,LL - wholesale,40.0,12.0,480.0
Silver Therapeutics - Orange,0.0,7/9/21,7/19/21,3120.0,$0.00 ,"$3,120.00 ",12.0,LL - wholesale,200.0,12.0,2400.0
Western Front,Deidra,7/14/21,7/17/21,3600.0,$0.00 ,"$3,600.00 ",12.0,LL - wholesale,300.0,12.0,3600.0
Rebelle,Jameson,7/7/21,7/16/21,2700.0,$0.00 ,"$2,700.00 ",12.0,LL - wholesale,150.0,12.0,1800.0
Caroline's Cannabis,Jameson,6/28/21,7/16/21,1440.0,$0.00 ,"$1,440.00 ",12.0,LL - wholesale,60.0,12.0,720.0
b\well,Jameson,7/6/21,7/16/21,480.0,$0.00 ,$480.00 ,12.0,LL - wholesale,40.0,12.0,480.0
Revolutionary,-,7/12/21,7/15/21,816.0,$0.00 ,$816.00 ,12.0,LL - wholesale,68.0,12.0,816.0
Revolutionary,-,7/14/21,7/15/21,864.0,$0.00 ,$864.00 ,12.0,LL - wholesale,72.0,12.0,864.0
The Pass,Brandon,7/13/21,7/15/21,2112.0,$0.00 ,"$2,112.00 ",12.0,LL - wholesale,100.0,12.0,1200.0
Revolutionary,-,7/6/21,7/8/21,1620.0,$0.00 ,"$1,620.00 ",12.0,LL - wholesale,43.0,12.0,516.0
Revolutionary,-,6/28/21,7/1/21,1440.0,$0.00 ,"$1,440.00 ",12.0,LL - wholesale,60.0,12.0,720.0
RISE Amherst,Brandon,6/22/21,6/30/21,3120.0,$0.00 ,"$3,120.00 ",12.0,LL - wholesale,160.0,12.0,1920.0
Nature's Remedy - Millbury,Jameson,6/14/21,6/28/21,3600.0,$0.00 ,"$3,600.00 ",12.0,LL - wholesale,150.0,12.0,1800.0
The Pass,Brandon,6/15/21,6/28/21,2400.0,$0.00 ,"$2,400.00 ",12.0,LL - wholesale,100.0,12.0,1200.0
Northeast Alternatives,Jameson,6/23/21,6/28/21,1920.0,$0.00 ,"$1,920.00 ",12.0,LL - wholesale,80.0,12.0,960.0
b\well,Jameson,6/24/21,6/28/21,480.0,$0.00 ,$480.00 ,12.0,LL - wholesale,40.0,12.0,480.0
SEED,Jameson,6/15/21,6/25/21,4800.0,$0.00 ,"$4,800.00 ",12.0,LL - wholesale,200.0,12.0,2400.0
Rebelle,Jameson,6/17/21,6/25/21,2400.0,$0.00 ,"$2,400.00 ",12.0,LL - wholesale,100.0,12.0,1200.0
Silver Therapeutics,Deidra,6/17/21,6/24/21,1440.0,$0.00 ,"$1,440.00 ",12.0,LL - wholesale,80.0,12.0,960.0
Ascend - Boston,Brandon,6/11/21,6/19/21,960.0,$0.00 ,$960.00 ,12.0,LL - wholesale,50.0,12.0,600.0
Western Front,Deidra,6/15/21,6/19/21,2352.0,$0.00 ,"$2,352.00 ",12.0,LL - wholesale,196.0,12.0,2352.0
Cannapi,Jameson,6/17/21,6/18/21,528.0,$0.00 ,$528.00 ,12.0,LL - wholesale,44.0,12.0,528.0
Elevated Roots,Jameson,6/9/21,6/17/21,4800.0,$0.00 ,"$4,800.00 ",12.0,LL - wholesale,200.0,12.0,2400.0
b\well,Jameson,6/9/21,6/16/21,480.0,$0.00 ,$480.00 ,12.0,LL - wholesale,40.0,12.0,480.0
United Cultivation,Deidra,6/8/21,6/14/21,2400.0,$0.00 ,"$2,400.00 ",12.0,LL - wholesale,100.0,12.0,1200.0
RISE Amherst,Brandon,6/7/21,6/13/21,2400.0,$0.00 ,"$2,400.00 ",12.0,LL - wholesale,100.0,12.0,1200.0
RISE Amherst,Brandon,-,3/19/21,912.0,$120.00 ,$910.80 ,28.46,CS - promo,88.0,0.01,0.88
Western Front,Deidra,-,3/12/21,1200.3,$118.00 ,"$1,199.12 ",21.41,CS - promo,88.0,0.01,0.88
Apothca,Brandon,5/6/21,5/10/21,1104.08,$8.00 ,"$1,104.00 ",12.0,CS - staff,8.0,0.01,0.08
RISE Amherst,Brandon,-,3/19/21,912.0,$120.00 ,$910.80 ,28.46,CS - staff,32.0,0.01,0.32
Western Front,Deidra,-,3/12/21,1200.3,$118.00 ,"$1,199.12 ",21.41,CS - staff,30.0,0.01,0.3
