,Name,Delivery,total,variable,value,unit_price,dollar_val
0,Greenleaf,9/14/20,$360.30 ,LL - wholesale,10,12.0,120.0
1,Greenleaf,9/28/20,"$2,161.80 ",LL - wholesale,60,12.0,720.0
2,Greenleaf,10/14/20,$720.60 ,LL - wholesale,20,12.0,240.0
3,Greenleaf,10/27/20,"$1,080.90 ",LL - wholesale,30,12.0,360.0
4,Greenleaf,11/16/20,$960.80 ,LL - wholesale,40,12.0,480.0
5,Summit,11/25/20,$218.31 ,LL - wholesale,8,9.0,72.0
6,Greenleaf,12/2/20,"$1,080.90 ",LL - wholesale,30,12.0,360.0
7,Greenleaf,12/16/20,"$1,080.90 ",LL - wholesale,30,12.0,360.0
8,Summit,12/18/20,$216.00 ,LL - wholesale,8,9.0,72.0
9,Greenleaf,1/6/21,"$2,700.75 ",LL - wholesale,75,12.0,900.0
10,Summit,1/7/21,$540.00 ,LL - wholesale,20,9.0,180.0
11,Summit,1/25/21,$576.00 ,LL - wholesale,20,9.0,180.0
12,Greenleaf,2/4/21,"$1,200.30 ",LL - wholesale,60,12.0,720.0
13,Summit,2/19/21,$522.38 ,LL - wholesale,20,9.0,180.0
14,Greenleaf,3/3/21,"$1,800.00 ",LL - wholesale,60,12.0,720.0
15,Summit,3/18/21,"$1,080.00 ",LL - wholesale,40,9.0,360.0
16,Greenleaf,3/31/21,"$1,080.17 ",LL - wholesale,60,9.0,540.0
17,Summit,4/16/21,"$1,440.00 ",LL - wholesale,54,9.0,486.0
18,Greenleaf,4/28/21,"$1,350.00 ",LL - wholesale,60,9.0,540.0
19,Summit,5/18/21,"$1,440.00 ",LL - wholesale,53,9.0,477.0
20,Greenleaf,5/26/21,"$1,620.00 ",LL - wholesale,60,9.0,540.0
21,Greenleaf,6/10/21,"$1,080.00 ",LL - wholesale,40,9.0,360.0
22,Greenleaf,7/8/21,"$1,080.00 ",LL - wholesale,60,9.0,540.0
23,Summit,7/22/21,"$1,350.00 ",LL - wholesale,50,9.0,450.0
24,Greenleaf,7/29/21,"$1,620.00 ",LL - wholesale,60,9.0,540.0
25,Greenleaf,9/14/20,$360.30 ,BOC - wholesale,10,12.0,120.0
26,Greenleaf,9/28/20,"$2,161.80 ",BOC - wholesale,60,12.0,720.0
27,Greenleaf,10/14/20,$720.60 ,BOC - wholesale,20,12.0,240.0
28,Greenleaf,10/27/20,"$1,080.90 ",BOC - wholesale,30,12.0,360.0
29,Greenleaf,11/16/20,$960.80 ,BOC - wholesale,40,12.0,480.0
30,Summit,11/25/20,$218.31 ,BOC - wholesale,8,9.0,72.0
31,Greenleaf,12/2/20,"$1,080.90 ",BOC - wholesale,30,12.0,360.0
32,Greenleaf,12/16/20,"$1,080.90 ",BOC - wholesale,30,12.0,360.0
33,Summit,12/18/20,$216.00 ,BOC - wholesale,8,9.0,72.0
34,Greenleaf,1/6/21,"$2,700.75 ",BOC - wholesale,75,12.0,900.0
35,Summit,1/7/21,$540.00 ,BOC - wholesale,20,9.0,180.0
36,Summit,1/25/21,$576.00 ,BOC - wholesale,24,9.0,216.0
37,Greenleaf,2/4/21,"$1,200.30 ",BOC - wholesale,40,12.0,480.0
38,Summit,2/19/21,$522.38 ,BOC - wholesale,19,9.0,171.0
39,Greenleaf,3/3/21,"$1,800.00 ",BOC - wholesale,60,12.0,720.0
40,Summit,3/18/21,"$1,080.00 ",BOC - wholesale,40,9.0,360.0
41,Greenleaf,3/31/21,"$1,080.17 ",BOC - wholesale,60,9.0,540.0
42,Summit,4/16/21,"$1,440.00 ",BOC - wholesale,53,9.0,477.0
43,Greenleaf,4/28/21,"$1,350.00 ",BOC - wholesale,60,9.0,540.0
44,Summit,5/18/21,"$1,440.00 ",BOC - wholesale,53,9.0,477.0
45,Greenleaf,5/26/21,"$1,620.00 ",BOC - wholesale,60,9.0,540.0
46,Greenleaf,6/10/21,"$1,080.00 ",BOC - wholesale,40,9.0,360.0
47,Greenleaf,7/8/21,"$1,080.00 ",BOC - wholesale,60,9.0,540.0
48,Summit,7/22/21,"$1,350.00 ",BOC - wholesale,50,9.0,450.0
49,Greenleaf,7/29/21,"$1,620.00 ",BOC - wholesale,60,9.0,540.0
50,Greenleaf,9/14/20,$360.30 ,GR - wholesale,10,12.0,120.0
51,Greenleaf,9/28/20,"$2,161.80 ",GR - wholesale,60,12.0,720.0
52,Greenleaf,10/14/20,$720.60 ,GR - wholesale,20,12.0,240.0
53,Greenleaf,10/27/20,"$1,080.90 ",GR - wholesale,30,12.0,360.0
55,Summit,11/25/20,$218.31 ,GR - wholesale,8,9.0,72.0
56,Greenleaf,12/2/20,"$1,080.90 ",GR - wholesale,30,12.0,360.0
57,Greenleaf,12/16/20,"$1,080.90 ",GR - wholesale,30,12.0,360.0
58,Summit,12/18/20,$216.00 ,GR - wholesale,8,9.0,72.0
59,Greenleaf,1/6/21,"$2,700.75 ",GR - wholesale,75,12.0,900.0
60,Summit,1/7/21,$540.00 ,GR - wholesale,20,9.0,180.0
61,Summit,1/25/21,$576.00 ,GR - wholesale,20,9.0,180.0
63,Summit,2/19/21,$522.38 ,GR - wholesale,19,9.0,171.0
64,Greenleaf,3/3/21,"$1,800.00 ",GR - wholesale,30,12.0,360.0
65,Summit,3/18/21,"$1,080.00 ",GR - wholesale,40,9.0,360.0
67,Summit,4/16/21,"$1,440.00 ",GR - wholesale,53,9.0,477.0
68,Greenleaf,4/28/21,"$1,350.00 ",GR - wholesale,30,9.0,270.0
69,Summit,5/18/21,"$1,440.00 ",GR - wholesale,54,9.0,486.0
70,Greenleaf,5/26/21,"$1,620.00 ",GR - wholesale,60,9.0,540.0
71,Greenleaf,6/10/21,"$1,080.00 ",GR - wholesale,40,9.0,360.0
73,Summit,7/22/21,"$1,350.00 ",GR - wholesale,50,9.0,450.0
74,Greenleaf,7/29/21,"$1,620.00 ",GR - wholesale,60,9.0,540.0
75,Greenleaf,9/14/20,$360.30 ,LL - promo,10,0.01,0.1
76,Greenleaf,9/28/20,"$2,161.80 ",LL - promo,60,0.01,0.6
77,Greenleaf,10/14/20,$720.60 ,LL - promo,20,0.01,0.2
78,Greenleaf,10/27/20,"$1,080.90 ",LL - promo,30,0.01,0.3
79,Greenleaf,11/16/20,$960.80 ,LL - promo,40,0.01,0.4
80,Summit,11/25/20,$218.31 ,LL - promo,77,0.01,0.77
81,Greenleaf,12/2/20,"$1,080.90 ",LL - promo,30,0.01,0.3
82,Greenleaf,12/16/20,"$1,080.90 ",LL - promo,30,0.01,0.3
84,Greenleaf,1/6/21,"$2,700.75 ",LL - promo,25,0.01,0.25
88,Summit,2/19/21,$522.38 ,LL - promo,12,0.01,0.12
100,Greenleaf,9/14/20,$360.30 ,BOC - promo,10,0.01,0.1
101,Greenleaf,9/28/20,"$2,161.80 ",BOC - promo,60,0.01,0.6
102,Greenleaf,10/14/20,$720.60 ,BOC - promo,20,0.01,0.2
103,Greenleaf,10/27/20,"$1,080.90 ",BOC - promo,30,0.01,0.3
104,Greenleaf,11/16/20,$960.80 ,BOC - promo,40,0.01,0.4
105,Summit,11/25/20,$218.31 ,BOC - promo,77,0.01,0.77
106,Greenleaf,12/2/20,"$1,080.90 ",BOC - promo,30,0.01,0.3
107,Greenleaf,12/16/20,"$1,080.90 ",BOC - promo,30,0.01,0.3
109,Greenleaf,1/6/21,"$2,700.75 ",BOC - promo,25,0.01,0.25
113,Summit,2/19/21,$522.38 ,BOC - promo,13,0.01,0.13
125,Greenleaf,9/14/20,$360.30 ,GR - promo,10,0.01,0.1
126,Greenleaf,9/28/20,"$2,161.80 ",GR - promo,60,0.01,0.6
127,Greenleaf,10/14/20,$720.60 ,GR - promo,20,0.01,0.2
128,Greenleaf,10/27/20,"$1,080.90 ",GR - promo,30,0.01,0.3
130,Summit,11/25/20,$218.31 ,GR - promo,77,0.01,0.77
131,Greenleaf,12/2/20,"$1,080.90 ",GR - promo,30,0.01,0.3
132,Greenleaf,12/16/20,"$1,080.90 ",GR - promo,30,0.01,0.3
134,Greenleaf,1/6/21,"$2,700.75 ",GR - promo,25,0.01,0.25
137,Greenleaf,2/4/21,"$1,200.30 ",GR - promo,30,0.01,0.3
138,Summit,2/19/21,$522.38 ,GR - promo,13,0.01,0.13
141,Greenleaf,3/31/21,"$1,080.17 ",GR - promo,17,0.01,0.17
