use_date,state,door,account,ext_doc_id,ext_doc_type,product_name,promo_name,unit_price,quantity,full_price,discount,dollar_vol,assigned_rep,sales_rep,packout,format,flavor,lite,sku,is_sample,is_promotion,fam_mapping
2020-09-14,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,10.0,120.0,0.0,120.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-09-28,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,60.0,720.0,0.0,720.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-10-14,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,20.0,240.0,0.0,240.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-10-27,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-11-16,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,40.0,480.0,0.0,480.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-11-25,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,8.0,72.0,0.0,72.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-12-18,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,8.0,72.0,0.0,72.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,75.0,900.0,0.0,900.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-01-07,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,20.0,180.0,0.0,180.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-01-25,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,20.0,180.0,0.0,180.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-02-04,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,60.0,720.0,0.0,720.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,20.0,180.0,0.0,180.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-03-03,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,12.0,60.0,720.0,0.0,720.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-03-18,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-03-31,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-04-16,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,54.0,486.0,0.0,486.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-04-28,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-05-18,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,53.0,477.0,0.0,477.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-05-26,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-06-10,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-07-08,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-07-22,RI,Summit,Summit,,Historic,LL - wholesale - 8oz - 6pk,,9.0,50.0,450.0,0.0,450.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-07-29,RI,Greenleaf,Greenleaf,,Historic,LL - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-09-14,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,10.0,120.0,0.0,120.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-09-28,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,60.0,720.0,0.0,720.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-10-14,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,20.0,240.0,0.0,240.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-10-27,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-11-16,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,40.0,480.0,0.0,480.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-11-25,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,8.0,72.0,0.0,72.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-12-18,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,8.0,72.0,0.0,72.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,75.0,900.0,0.0,900.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-01-07,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,20.0,180.0,0.0,180.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-01-25,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,24.0,216.0,0.0,216.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-02-04,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,40.0,480.0,0.0,480.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,19.0,171.0,0.0,171.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-03-03,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,60.0,720.0,0.0,720.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-03-18,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-03-31,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-04-16,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,53.0,477.0,0.0,477.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-04-28,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-05-18,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,53.0,477.0,0.0,477.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-05-26,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-06-10,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-07-08,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-07-22,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,50.0,450.0,0.0,450.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-07-29,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-09-14,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,10.0,120.0,0.0,120.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-09-28,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,60.0,720.0,0.0,720.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-10-14,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,20.0,240.0,0.0,240.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-10-27,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-11-25,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,8.0,72.0,0.0,72.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-12-18,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,8.0,72.0,0.0,72.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,75.0,900.0,0.0,900.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-01-07,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,20.0,180.0,0.0,180.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-01-25,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,20.0,180.0,0.0,180.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,19.0,171.0,0.0,171.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-03-03,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,12.0,30.0,360.0,0.0,360.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-03-18,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-04-16,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,53.0,477.0,0.0,477.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-04-28,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,9.0,30.0,270.0,0.0,270.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-05-18,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,54.0,486.0,0.0,486.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-05-26,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-06-10,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-07-22,RI,Summit,Summit,,Historic,GR - wholesale - 8oz - 6pk,,9.0,50.0,450.0,0.0,450.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-07-29,RI,Greenleaf,Greenleaf,,Historic,GR - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-09-14,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,10.0,0.1,0.0,0.1,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-09-28,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,60.0,0.6,0.0,0.6,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-10-14,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,20.0,0.2,0.0,0.2,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-10-27,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-11-16,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,40.0,0.4,0.0,0.4,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-11-25,RI,Summit,Summit,,Historic,LL - promo - 8oz - 6pk,promo,0.01,77.0,0.77,0.0,0.77,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,LL - promo - 8oz - 6pk,promo,0.01,25.0,0.25,0.0,0.25,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,LL - promo - 8oz - 6pk,promo,0.01,12.0,0.12,0.0,0.12,,Not Mapped,6,8oz,LL,False,LL-8oz-6,False,False,Core
2020-09-14,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,10.0,0.1,0.0,0.1,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-09-28,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,60.0,0.6,0.0,0.6,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-10-14,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,20.0,0.2,0.0,0.2,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-10-27,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-11-16,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,40.0,0.4,0.0,0.4,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-11-25,RI,Summit,Summit,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,77.0,0.77,0.0,0.77,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,25.0,0.25,0.0,0.25,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,BOC - promo - 8oz - 6pk,promo,0.01,13.0,0.13,0.0,0.13,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2020-09-14,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,10.0,0.1,0.0,0.1,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-09-28,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,60.0,0.6,0.0,0.6,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-10-14,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,20.0,0.2,0.0,0.2,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-10-27,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-11-25,RI,Summit,Summit,,Historic,GR - promo - 8oz - 6pk,promo,0.01,77.0,0.77,0.0,0.77,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-12-02,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2020-12-16,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-01-06,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,25.0,0.25,0.0,0.25,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-02-04,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,30.0,0.3,0.0,0.3,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,GR - promo - 8oz - 6pk,promo,0.01,13.0,0.13,0.0,0.13,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
2021-03-31,RI,Greenleaf,Greenleaf,,Historic,GR - promo - 8oz - 6pk,promo,0.01,17.0,0.17,0.0,0.17,,Not Mapped,6,8oz,GR,False,GR-8oz-6,False,False,Core
