door,account,dollar_vol
Prussian Sticks LLC,McDoestle," $89,589.50 "
GrassDoor Delivery,GrassDoor," $30,540.00 "
TradeCraft - Vista,TradeCraft," $27,160.47 "
SPARC Santa Rosa,SPARC," $21,819.15 "
The Apothecarium - SF,Apothecarium," $19,410.10 "
Sunset Pipeline,Barbary Group," $18,868.84 "
Fig & Thistle Apothecary,* Independent Kiva Sales & Service," $18,110.52 "
The Apothecarium - Deep Thought,Apothecarium," $16,960.80 "
Liberty - SF,Holistic Health / Liberty," $12,491.67 "
Cal Street Cannabis - California,California Street Cannabis Co.," $10,343.95 "
Coastal Dispensary,Coastal," $10,337.13 "
iCANN,Glass House Group," $9,848.80 "
Sweet Flower Culver City,Sweet Flower," $9,013.92 "
TradeCraft Farms - Port Hueneme,TradeCraft," $8,914.53 "
Mission Cannabis Club,* Independent Kiva Sales & Service," $8,788.12 "
The Spot - Halladay,* Independent Kiva Sales & Service," $8,444.28 "
Depot - OC Delivery,Eaze," $8,277.60 "
Bud and Bloom- Santa Ana,Glass House Group," $7,541.26 "
Calma (The Parent Company),The Parent Co.," $6,513.52 "
The Apothecarium - Marina,Apothecarium," $6,030.90 "
Liberty SF,Holistic Health / Liberty," $5,658.00 "
The Apothecarium - Castro,Apothecarium," $5,053.70 "
"Flor X, Inc.",* Independent Kiva Sales & Service," $4,800.80 "
Embarc Tahoe,Embarc," $4,512.28 "
Wellgreens - Lake Murray,Wellgreens," $3,893.62 "
Down Under Industries,* Independent Kiva Sales & Service," $3,852.75 "
HOTN Cultivation Co.,* Independent Kiva Sales & Service," $3,784.00 "
Cannabis Express,* Independent Kiva Sales & Service," $3,515.40 "
Amuse Delivery,Amuse," $3,412.50 "
Juva RWC,Juva," $3,402.66 "
Embarc Martinez,Embarc," $3,359.22 "
Buzz Delivery,* Independent Kiva Sales & Service," $3,147.88 "
Depot - Hometown Heart - SF - SoCal Distro,Eaze," $2,748.00 "
3 Bros Santa Cruz,3Bros," $2,599.00 "
Mr Nice Guy - The Marketplace,Mr Nice Guy," $2,592.64 "
Coastal West LA,Coastal," $2,404.70 "
March and Ash - Imperial Beach,March and Ash," $2,225.00 "
Harvest - Pasadena,Harvest," $2,164.86 "
Jane Dispensary,* Independent Kiva Sales & Service," $2,154.07 "
SPARC Polk,SPARC," $2,074.85 "
Organic Green Treatment Center (LA Cannabis LA),LA Cannabis Co.," $1,902.82 "
"MAGNOLIA EXTRACTS, LLC : High Tide - NUG Ave.",* Independent Kiva Sales & Service," $1,893.25 "
Herb Delivery - East LA,Herb Delivery," $1,800.04 "
Tahoe Honey Company,* Independent Kiva Sales & Service," $1,778.05 "
Coachella Valley Green Dragon,* Independent Kiva Sales & Service," $1,765.22 "
North Beach Pipeline,Barbary Group," $1,756.18 "
Berners on Haight,Cookies Corp," $1,716.30 "
The Apothecarium - Soma,Apothecarium," $1,701.00 "
SPARC Haight Street,SPARC," $1,533.28 "
CALEXICO CANNABIS DISTRIBUTION,* Independent Kiva Sales & Service," $1,480.00 "
Beyond / Hello,Beyond Hello/Jushi Brand," $1,420.72 "
Sol Distro,Coastal," $1,404.00 "
BASA,* Independent Kiva Sales & Service," $1,351.50 "
Depot - OC Retail,Eaze," $1,350.00 "
High Times - Coalinga,High Times Delivery," $1,317.60 "
Harvest - Napa,Harvest," $1,306.82 "
Have a Heart - Santa Cruz,Have a Heart," $1,302.96 "
The People's Remedy - Distro,* Independent Kiva Sales & Service," $1,296.00 "
Liberty Van Nuys,Holistic Health / Liberty," $1,293.20 "
Melrose Herbal Collective (LA Cannabis La Brea),LA Cannabis Co.," $1,278.92 "
Eco Cannabis,* Independent Kiva Sales & Service," $1,234.48 "
Holistic Pain Relief (LA Cannabis Co),LA Cannabis Co.," $1,224.72 "
Rose Mary Jane,* Independent Kiva Sales & Service," $1,200.00 "
Mountain High Recreation (High Times),High Times Delivery," $1,156.44 "
Gencan - High Times Delivery,High Times Delivery," $1,155.06 "
Cannadel,* Independent Kiva Sales & Service," $1,152.22 "
Highway 29,* Independent Kiva Sales & Service," $1,132.50 "
Embarc Fairfield,Embarc," $1,122.16 "
Three Habitat Consulting Atwater LLC,CHAi," $1,118.61 "
Trees of Echo Park,* Independent Kiva Sales & Service," $1,020.00 "
Legacy Kush,* Independent Kiva Sales & Service," $1,008.00 "
Wheel House,* Independent Kiva Sales & Service, $979.44 
"Ironworks Collective, INC. (Distro)",Stiiizy, $955.44 
Wellgreens - Jungle Boys San Diego,Wellgreens, $856.00 
Compassionate Bay Delivery CBD,* Independent Kiva Sales & Service, $844.03 
High Note - LAX,HIGH NOTE, $840.00 
High Note - Los Angeles,HIGH NOTE, $840.00 
The Cake House - Vista,The Cake House, $756.00 
Pure CA,* Independent Kiva Sales & Service, $721.23 
3 Bros Midtown,3Bros, $706.92 
High Note - Culver City,HIGH NOTE, $672.00 
"Varda, INC (Coastal Pasadena)",Coastal, $660.02 
Harvest - 805 Beach Breaks,Harvest, $648.30 
Sixty Four and Hope (La Cienega),Sixty Four and Hope, $618.00 
ULBP - Grossmont,Urbn Leaf, $600.00 
Sixty-Four and Hope (La Cienega),* Independent Kiva Sales & Service, $564.18 
Herb Delivery - West LA,Herb Delivery, $540.00 
Amuse - Sacramento,Amuse, $531.24 
PORT RETAIL LLC : Leaf and Lion,* Independent Kiva Sales & Service, $528.00 
Illa Canna (Ventura Oaks Ventures),Blaze Mota, $492.03 
M&M Telegraph Inc,* Independent Kiva Sales & Service, $480.00 
Livity,* Independent Kiva Sales & Service, $480.00 
SLOCAL Roots,* Independent Kiva Sales & Service, $468.30 
Harvest - Palm Springs,Harvest, $448.46 
City Cannabis,* Independent Kiva Sales & Service, $432.00 
Mary Jane's Collective,* Independent Kiva Sales & Service, $420.00 
Green Dragon - Lompoc,Green Dragon Collective, $408.00 
Harvest - Venice,Harvest, $396.64 
Herb N Joy - Beverly Hills,* Independent Kiva Sales & Service, $396.47 
Catalyst Palm Desert,Catalyst, $394.00 
Green Dragon - Love Shack,Green Dragon Collective, $360.00 
Foothill Health and Wellness,* Independent Kiva Sales & Service, $324.00 
Amuse - OC,Amuse, $324.00 
Blum Oakland,BLUM, $288.33 
Blum San Leandro,BLUM, $288.21 
Marina Caregivers / Highway,* Independent Kiva Sales & Service, $288.16 
Blazed Utopia,* Independent Kiva Sales & Service, $288.00 
"Three Habitat Consulting Antioch, LLC",CHAi, $270.24 
Space Booth LA,* Independent Kiva Sales & Service, $234.10 
"Higher Level GREENFIELD, INC",Higher Level, $216.00 
HERB delivery - SFValley,Herb Delivery, $216.00 
All Natural Inc,* Independent Kiva Sales & Service, $180.04 
TreeO,* Independent Kiva Sales & Service, $180.00 
Coastal Delivery - San Luis Obispo,Coastal, $144.00 
Coastal - Stockton,Coastal, $144.00 
The Bakery Fort Bragg,* Independent Kiva Sales & Service, $120.00 
Union Station,* Independent Kiva Sales & Service, $108.12 
Extrax,* Independent Kiva Sales & Service, $108.00 
R2H Dispensary,* Independent Kiva Sales & Service, $108.00 
March and Ash Chula Vista,March and Ash, $100.00 
March and Ash Nirvana,March and Ash, $100.00 
Shoot the Moon,* Independent Kiva Sales & Service, $96.00 
Canni Delivery,* Independent Kiva Sales & Service, $60.00 
Solful - High Tide,Solful, $30.00 
From The Earth DBO,From the Earth, $1.80 
SYNERGY,High Times Delivery, $1.26 
reLeaf,Coastal, $0.80 
Santa Cruz Naturals,Santa Cruz Naturals, $0.52 
530 CANNABIS,High Times Delivery, $0.51 
Humanity Wellness,* Independent Kiva Sales & Service, $0.45 
Green Dot Collective,* Independent Kiva Sales & Service, $0.40 
Alpha Core Inc.,* Independent Kiva Sales & Service, $0.40 
CHAI Cannabis Co - Santa Cruz,CHAi, $0.40 
"Satlla, Inc",* Independent Kiva Sales & Service, $0.30 
Catalyst Florence,Catalyst, $0.30 
Lytt,* Independent Kiva Sales & Service, $0.19 
Beyond Hello,Beyond Hello/Jushi Brand, $0.17 
High Times San Bernardino,High Times Delivery, $0.13 
THE QUEEN OF DRAGONS,* Independent Kiva Sales & Service, $0.12 
Primetiming,* Independent Kiva Sales & Service, $0.06 
"Seaweed Holistics, LLC",* Independent Kiva Sales & Service, $0.05 
PRESCOTT MOORE LLC,* Independent Kiva Sales & Service, $0.04 
Green Frog Delivery,* Independent Kiva Sales & Service, $0.04 
Holistic Healing Collective,* Independent Kiva Sales & Service, $0.04 
Grace Delivery (Voyage Distribution),"Voyage Distribution, Inc.", $0.03 
Pineapple Express,Pineapple INC, $0.03 
Therapeutic Herbal Company LLC,* Independent Kiva Sales & Service, $0.03 